Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257388,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257388,18.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257389,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257389,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257389,11.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257390,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257390,29.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257391,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257391,29.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257392,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257392,29.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",257393,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257393,11.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257393,18.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257394,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257394,29.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257395,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257395,38.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257396,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257396,40.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257397,5.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",257397,72.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257398,3.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257398,3.83,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257398,11.63,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257398,24.16,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257398,40.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257399,3.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Hospitality UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257399,5.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257399,23.29,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257399,181.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,Clarity Travel Management,UK Space Agency - UK Space Agency,Mawasem Ltd T/A Clarity Travel Management,257474,3338.92,,ST18 0WN,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,Clarity Travel Management,UK Space Agency - UK Space Agency,Mawasem Ltd T/A Clarity Travel Management,257474,76670.61,,ST18 0WN,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,Payment of Levies,UKSA - UKSA,"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",257475,1004127.00,,SW1H 0ET,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D International Subscriptions,UK Space Agency - UK Space Agency,EUROPEAN SPACE AGENCY,257476,8997390.32,,75738,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,BTZ Bremer Touristik-Zentrale GmbH,257488,2869.56,,D-28215,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D International Subscriptions,UK Space Agency - UK Space Agency,EUROPEAN SPACE AGENCY,257492,44512981.18,,75738,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,IAN MCWHIRTER T/A BLOOMERS BESPOKE,257527,480.00,,OX11 0QQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257604,12.29,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257604,13.91,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257604,85.22,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257604,114.11,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Hotel & Accommodation Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257604,415.36,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257605,8.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257605,9.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Rentals Under Non-PFI Operating Leases - Buildings,UKSA - UKSA,NATS (EN-ROUTE) PLC,257633,37702.25,,EH12 5HD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,THE OPEN UNIVERSITY,257641,45923.80,,MK7 6BT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,BTZ Bremer Touristik-Zentrale GmbH,257671,-6993.11,,D-28215,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,BTZ Bremer Touristik-Zentrale GmbH,257671,9592.08,,D-28215,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Coference and Exhibition Services,UK Space Agency - UK Space Agency,SATNEWS PUBLISHERS,257718,1140.55,,95476,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,LONDON INSTITUTE OF SPACE POLICY AND LAW,257719,2850.00,,WC1B 5DR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,Capital Grants To Private Sector - Persons & NPISH,UK Space Agency - UK Space Agency,TELEDYNE E2V (UK) LTD,257774,52544.00,,CM1 2QU,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,GOVERNMENT ACTUARYS DEPARTMENT,257779,5761.25,,EC4A 1AB,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",257813,17.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",257813,29.82,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",257813,106.15,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",257813,111.73,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",257813,792.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257815,1.35,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257815,2.73,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257815,12.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257815,12.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257817,51.25,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257818,6.42,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257818,14.78,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257818,41.12,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257819,15.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,12/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257819,59.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Ambiental Environmental Assessment Ltd,257910,13695.05,,BN1 9SB,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,04/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,SCISYS (UK) LTD,257914,36000.00,,SN14 0GB,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Professional Services,UKSA - UKSA,TECHNOPOLIS LTD,258012,29783.00,,BN1 1EE,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,1.69,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,3.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,6.41,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,6.77,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,15.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,16.24,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,16.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Hotel & Accommodation Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258037,502.92,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258038,4.85,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258038,7.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258038,13.83,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258038,18.13,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",258038,41.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258038,61.69,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258038,76.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258039,16.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258039,44.49,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258039,64.38,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",258039,123.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258039,153.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258040,1.64,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Hotel & Accommodation Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258040,2.63,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258040,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258040,12.02,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",258040,40.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258043,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258043,20.44,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258043,71.08,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,05/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",258045,5.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,19/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,BAXTERSTOREY LTD,258093,123.50,,RG6 1PT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258143,5697.43,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,258147,5861.76,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",258220,24.65,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",258220,42.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",258220,98.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258221,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258221,20.25,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258221,70.44,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258222,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,08/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",258222,12.10,,,EMPLOYEE
